"name","description","execution mode","location","deprecated by"
"apoc.convert.setJsonProperty(org.neo4j.graphdb.Node node,String key,Object value)","apoc.json.setJsonProperty(node,key,complexValue) - sets value serialized to JSON as property with the given name on the node","WRITE","apoc.convert.Json","N/A"
"apoc.convert.toTree(java.util.List<org.neo4j.graphdb.Path> paths)","apoc.convert.toTree([paths]) creates a stream of nested documents representing the at least one root of these paths","DEFAULT","apoc.convert.Json","N/A"
"apoc.convert.toMap(Object map)","apoc.convert.toMap(value) | tries it's best to convert the value to a map","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toString(Object string)","apoc.convert.toString(value) | tries it's best to convert the value to a string","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toList(Object list)","apoc.convert.toList(value) | tries it's best to convert the value to a list","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toBoolean(Object bool)","apoc.convert.toBoolean(value) | tries it's best to convert the value to a boolean","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toNode(Object node)","apoc.convert.toNode(value) | tries it's best to convert the value to a node","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toRelationship(Object relationship)","apoc.convert.toRelationship(value) | tries it's best to convert the value to a relationship","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toSet(Object list)","apoc.convert.toSet(value) | tries it's best to convert the value to a set","N/A","apoc.convert.Convert","N/A"
"apoc.convert.toJson(Object value)","apoc.convert.toJson([1,2,3]) or toJson({a:42,b:""foo"",c:[1,2,3]})","N/A","apoc.convert.Json","N/A"
"apoc.convert.getJsonProperty(org.neo4j.graphdb.Node node,String key)","apoc.json.getJsonProperty(node,key) - converts serialized JSON in property to structure again","N/A","apoc.convert.Json","N/A"
"apoc.convert.fromJsonMap(String map)","apoc.convert.fromJsonMap('{""a"":42,""b"":""foo"",""c"":[1,2,3]}')","N/A","apoc.convert.Json","N/A"
"apoc.convert.fromJsonList(String list)","apoc.convert.fromJsonList('[1,2,3]')","N/A","apoc.convert.Json","N/A"
