"name","description","execution mode","location","deprecated by"
"apoc.map.fromPairs(java.util.List<java.util.List<Object>> pairs)","apoc.map.fromPairs([[key,value],[key2,value2],...])","N/A","apoc.map.Maps","N/A"
"apoc.map.fromLists(java.util.List<String> keys,java.util.List<Object> values)","apoc.map.fromLists([keys],[values])","N/A","apoc.map.Maps","N/A"
"apoc.map.fromValues(java.util.List<Object> values)","apoc.map.fromValues([key1,value1,key2,value2,...])","N/A","apoc.map.Maps","N/A"
"apoc.map.merge(java.util.Map<String,Object> first,java.util.Map<String,Object> second)","apoc.map.merge(first,second) - merges two maps","N/A","apoc.map.Maps","N/A"
"apoc.map.setKey(java.util.Map<String,Object> map,String key,Object value)","apoc.map.setKey(map,key,value)","N/A","apoc.map.Maps","N/A"
"apoc.map.setEntry(java.util.Map<String,Object> map,String key,Object value)","apoc.map.setEntry(map,key,value)","N/A","apoc.map.Maps","N/A"
"apoc.map.setPairs(java.util.Map<String,Object> map,java.util.List<java.util.List<Object>> pairs)","apoc.map.setPairs(map,[[key1,value1],[key2,value2])","N/A","apoc.map.Maps","N/A"
"apoc.map.setLists(java.util.Map<String,Object> map,java.util.List<String> keys,java.util.List<Object> values)","apoc.map.setLists(map,[keys],[values])","N/A","apoc.map.Maps","N/A"
"apoc.map.setValues(java.util.Map<String,Object> map,java.util.List<Object> pairs)","apoc.map.setValues(map,[key1,value1,key2,value2])","N/A","apoc.map.Maps","N/A"
"apoc.map.removeKey(java.util.Map<String,Object> map,String key)","apoc.map.removeKey(map,key)","N/A","apoc.map.Maps","N/A"
"apoc.map.removeKeys(java.util.Map<String,Object> map,java.util.List<String> keys)","apoc.map.removeKeys(map,keys)","N/A","apoc.map.Maps","N/A"
"apoc.map.clean(java.util.Map<String,Object> map,java.util.List<String> keys,java.util.List<Object> values)","apoc.map.clean(map,[skip,keys],[skip,values]) yield map removes the keys and values contained in those lists, good for data cleaning from CSV/JSON","N/A","apoc.map.Maps","N/A"
"apoc.map.flatten(java.util.Map<String,Object> map)","apoc.map.flatten(map) yield map - flattens nested items in map using dot notation","N/A","apoc.map.Maps","N/A"
