"name","description","execution mode","location","deprecated by"
"apoc.text.phonetic(Object value)","apoc.text.phonetic(value) yield value - Compute the US_ENGLISH phonetic soundex encoding of all words of the text value which can be a single string or a list of strings","DEFAULT","apoc.text.Phonetic","N/A"
"apoc.text.phoneticDelta(String text1,String text2)","apoc.text.phoneticDelta(text1, text2) yield phonetic1, phonetic2, delta - Compute the US_ENGLISH soundex character difference between two given strings","DEFAULT","apoc.text.Phonetic","N/A"
"apoc.text.lpad(String text,long count,String delim)","apoc.text.lpad(text,count,delim) YIELD value - left pad the string to the given width","DEFAULT","apoc.text.Strings","N/A"
"apoc.text.rpad(String text,long count,String delim)","apoc.text.rpad(text,count,delim) YIELD value - right pad the string to the given width","DEFAULT","apoc.text.Strings","N/A"
"apoc.text.format(String text,java.util.List<Object> params)","apoc.text.format(text,[params]) YIELD value - sprintf format the string with the params given","DEFAULT","apoc.text.Strings","N/A"
"apoc.text.replace(String text,String regex,String replacement)","apoc.text.replace(text, regex, replacement) - replace each substring of the given string that matches the given regular expression with the given replacement.","N/A","apoc.text.Strings","N/A"
"apoc.text.regreplace(String text,String regex,String replacement)","apoc.text.regreplace(text, regex, replacement) - replace each substring of the given string that matches the given regular expression with the given replacement.","N/A","apoc.text.Strings","N/A"
"apoc.text.join(java.util.List<String> texts,String delimiter)","apoc.text.join(['text1','text2',...], delimiter) - join the given strings with the given delimiter.","N/A","apoc.text.Strings","N/A"
"apoc.text.clean(String text)","apoc.text.clean(text) - strip the given string of everything except alpha numeric characters and convert it to lower case.","N/A","apoc.text.Strings","N/A"
"apoc.text.compareCleaned(String text1,String text2)","apoc.text.compareCleaned(text1, text2) - compare the given strings stripped of everything except alpha numeric characters converted to lower case.","N/A","apoc.text.Strings","N/A"
"apoc.text.urlencode(String text)","apoc.text.urlencode(text) - return the urlencoded text","N/A","apoc.text.Strings","N/A"
"apoc.text.urldecode(String text)","apoc.text.urldecode(text) - return the urldecoded text","N/A","apoc.text.Strings","N/A"
